"ID_COMPANY","DESC_COMPANY"
"00040","COMPANY 00040"
"00143","COMPANY 00143"
"00148","COMPANY 00148"
"00174","COMPANY 00174"
"00204","COMPANY 00204"
"00401","COMPANY 00401"
"00405","COMPANY 00405"
"00411","COMPANY 00411"
"00412","COMPANY 00412"
"00413","COMPANY 00413"
"00416","COMPANY 00416"
"00418","COMPANY 00418"
"00420","COMPANY 00420"
"00424","COMPANY 00424"
"00426","COMPANY 00426"
"00428","COMPANY 00428"
"00429","COMPANY 00429"
"00430","COMPANY 00430"
"00433","COMPANY 00433"
"00946","COMPANY 00946"
"00947","COMPANY 00947"
"80140","COMPANY 80140"
"80540","COMPANY 80540"
"80640","COMPANY 80640"
"80840","COMPANY 80840"
"92140","COMPANY 92140"
